name,ra,dec,JAB,label,spectral type,redshift,source,note,run,flux_z,flux_ivar_z,flux_w1,flux_ivar_w1,flux_w2,flux_ivar_w2,j_err,y_err,h_err,k_err,YAB,HAB,KAB
J1056+4613,164.0283,46.2248,-1.0,failed,,,,no trace,mosfire-2005,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1100+5215,165.0265,52.2588,-1.0,failed,,,,no trace,mosfire-2005,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1141+2822,175.356,28.371,-1.0,failed,,,,no trace,mosfire-2005,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1311+5932,197.8284,59.5419,-1.0,uNQ,,,,,mosfire-2005,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1342+0928,205.5338,9.4774,20.59,QSO,,7.54,known quasar,,mosfire-2005,,,,,,,0.091391325,0.19083378,0.11903839,0.12339124,21.47,20.02,20.03
J1410+3927,212.7213,39.457,-1.0,failed,,,,no trace,mosfire-2005,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1517+2846,229.403,28.7692,-1.0,failed,,,,no trace,mosfire-2005,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1517+2551,229.4647,25.8527,-1.0,failed,,,,no trace,mosfire-2005,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1526+2848,231.6328,28.8089,-1.0,failed,,,,no trace,mosfire-2005,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1600+3127,240.1348,31.4611,-1.0,uNQ,,,,,mosfire-2005,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1626+1337,246.7402,13.6299,-1.0,uNQ,,,,,mosfire-2005,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1642+2731,250.671,27.5183,20.92,failed,,,,no trace,mosfire-2005,,,,,,,0.20562023,-1.0,-1.0,0.19610903,-1.0,-1.0,19.86
J2133+0605,323.2536,6.0891,-1.0,failed,,,,no trace,mosfire-2005,1.070992,66.772766,25.281582,2.808761,35.435196,0.625744,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J2033-0428,308.3373,-4.4744,-1.0,failed,,,JY & FW,fall on a bright stripe,mosfire-2010,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J2105-0049,316.2843,-0.826,-1.0,uNQ,,,JY & FW,,mosfire-2010,2.022883,10.638963,13.162459,2.718052,10.530208,0.628632,-1.0,-1.0,-1.0,0.15455937,-1.0,-1.0,19.95
J2119-1335,319.9394,-13.5912,-1.0,uNQ,,,JY & FW,,mosfire-2010,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J2129+0601,322.4129,6.0204,-1.0,uNQ,,,JY & FW,no trace in mosfire-2005,mosfire-2010,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
