t1_name,t1_redshift,t1_radeg,t1_decdeg,t1_japermag3,t1_japermag3err,flux_g,flux_ivar_g,flux_ivar_r,flux_ivar_w1,flux_ivar_w2,flux_ivar_z,flux_r,flux_w1,flux_w2,flux_z,mag_g,mag_r,mag_w1,mag_w2,mag_z,dist_arcsec
SDSSJ094409.52+100656.6  ,4.765,146.0396667,10.1157472,18.301935,0.044621,0.796807,1066.8043,257.49326,2.257124,0.568358,47.091496,9.803501,38.583355,36.2809,19.566973,22.746616,20.021547,18.534,18.600805,19.27119,0.018346809957374543
SDSSJ082800.57+245111.8  ,4.776,127.002375,24.8532972,19.161236,0.096026,0.183348,1837.6726,327.31766,2.822987,0.609492,106.13108,3.373131,7.152723,5.255831,7.440241,24.341812,21.179916,20.363821,20.698397,20.321032,0.1006430379884295
SDSSJ075907.57+180054.7  ,4.778,119.7815833,18.0151972,18.201353,0.051011,0.289109,1354.2305,294.09747,2.212721,0.531656,94.67987,7.46051,36.905457,35.186497,24.030188,23.847347,20.318079,18.582273,18.63406,19.048107,0.06053277587634285
SDSSJ085931.29+252019.5  ,4.78 ,134.880375,25.338775,19.050323,0.093647,0.2584,2323.4558,363.6803,2.648891,0.600865,125.602776,6.164949,21.272554,20.629974,10.985652,23.96927,20.525177,19.18045,19.213753,19.897936,0.012081780833609843
SDSSJ104041.09+162233.8  ,4.798,160.17125,16.376075,18.402008,0.050429,0.511525,2034.6382,528.20984,2.654832,0.585609,66.396645,7.329545,7.65365,-2.93602,19.926468,23.227833,20.337307,20.290329,NaN,19.251425,0.08283011778349854
SDSSJ091112.25+255425.6  ,4.805,137.8010833,25.9071361,18.043592,0.063832,0.402905,1761.562,505.55124,2.42297,0.616403,120.32242,5.987343,28.845606,23.551027,18.924215,23.486994,20.556915,18.8498,19.069975,19.307455,0.1115932631929702
SWJ075332.01+101511.68   ,4.89 ,118.383375,10.2532444,18.354935,0.05265,0.804928,1642.8883,446.70377,2.469753,0.573665,104.74469,6.715709,22.901758,23.090559,21.734154,22.735607,20.43227,19.100328,19.091413,19.157143,0.02671565650582779
SDSSJ103208.57+144029.0  ,4.895,158.0357083,14.674725,19.801117,0.193428,0.023042,1172.5863,541.93494,2.74893,0.613425,102.40982,1.450871,8.24068,5.102593,5.669872,26.59368,22.095928,20.210093,20.730522,20.616066,0.174194333055036
SDSSJ090059.51+274557.6  ,4.96 ,135.2479583,27.766,20.06496,0.188995,0.011529,1113.6613,274.55356,3.121917,0.647752,59.95179,0.739955,5.9875,6.336663,5.185681,27.34554,22.826986,20.556887,20.495348,20.712986,0.06181226687719209
SDSSJ084627.84+080051.7  ,5.0  ,131.616,8.0143667,18.632174,0.07256,0.0386,1488.5085,555.17737,2.890052,0.669569,79.32445,2.113349,13.728081,13.448325,10.153674,26.033522,21.687572,19.655975,19.67833,19.983442,0.029043860572715737
