#ID , RA , DEC , z , Discovery Ref ,,,,
J154825.40+005015.50,15:48:25.40,+00:50:15.50,6.15,Yang19,,,,
J084303.76+291113.40,08:43:03.76,+29:11:13.40,6.15,Yang19,,,,
J142821.39-160243.30,14:28:21.39,-16:02:43.30,6.1498,Banados16,,,,
J231832.91-302934.70,23:18:32.91,-30:29:34.70,6.1458,Farina19,,,,
J140147.34+274935.03,14:01:47.34,+27:49:35.03,6.14,Banados16,,,,
J143140.45-072446.47,14:31:40.45,-07:24:46.47,6.14,Banados16,,,,
J144823.33+433305.90,14:48:23.33,+43:33:05.90,6.14,Matsuoka19b,,,,
J011224.59-011557.30,01:12:24.59,-01:15:57.30,6.14,Matsuoka21,,,,
J022223.74+024535.00,02:22:23.74,+02:45:35.00,6.14,Matsuoka21,,,,
J131911.29+095051.40,13:19:11.29,+09:50:51.40,6.13334,Mortlock09,,,,
J003311.40-012524.90,00:33:11.40,-01:25:24.90,6.13,Willott07,,,,
J125051.93+313022.90,12:50:51.93,+31:30:22.90,6.13,Fan06,,,,
J142331.71-001809.10,14:23:31.71,-00:18:09.10,6.13,Matsuoka17,,,,
J144001.30-010702.20,14:40:01.30,-01:07:02.20,6.13,Matsuoka17,,,,
J000133.30+000605.40,00:01:33.30,+00:06:05.40,6.13,Matsuoka19b,,,,
J151657.87+422852.90,15:16:57.87,+42:28:52.90,6.13,Matsuoka19b,,,,
J125437.08-001410.70,12:54:37.08,-00:14:10.70,6.13,Matsuoka19b,,,,
J112746.08+022231.50,11:27:46.08,+02:22:31.50,6.13,Matsuoka21,,,,
J150941.78-174926.80,15:09:41.78,-17:49:26.80,6.1225,Willott07,,,,
J142738.59+331241.00,14:27:38.59,+33:12:41.00,6.12,McGreer06,,,,
J042201.00-192728.69,04:22:01.00,-19:27:28.69,6.12,Banados16,,,,
J225205.44+022531.90,22:52:05.44,+02:25:31.90,6.12,Matsuoka18,,,,
J095139.01+021952.00,09:51:39.01,+02:19:52.00,6.12,Matsuoka21,,,,
J001247.71+033716.90,00:12:47.71,+03:37:16.90,6.12,Matsuoka21,,,,
J233429.70+050217.00,23:34:29.70,+05:02:17.00,6.12,Matsuoka21,,,,
J002334.65+034223.20,00:23:34.65,+03:42:23.20,6.12,Matsuoka21,,,,
J104119.15+200824.00,10:41:19.15,+20:08:24.00,6.12,Yang19,,,,
J231546.57-002358.10,23:15:46.57,-00:23:58.10,6.117,Jiang08,,,,
J120859.23-020034.80,12:08:59.23,-02:00:34.80,6.1165,Matsuoka17,,,,
J103734.52+003750.80,10:37:34.52,+00:37:50.80,6.11,Matsuoka21,,,,
J155850.99-072409.59,15:58:50.99,-07:24:09.59,6.1098,Banados16,,,,
J045401.79-444831.10,04:54:01.79,-44:48:31.10,6.1,Reed15,,,,
J000930.89+325212.94,00:09:30.89,+32:52:12.94,6.10,Banados16,,,,
J140646.88-014402.60,14:06:46.88,-01:44:02.60,6.10,Matsuoka18,,,,
